Sector,2011,2012,2013,2014,2015,2016,2017,2018,Total 2015-18,Total
Health Care,1398172.32,1547145.5599999996,1640363.4800000002,1443555.5799999996,1954716.4700000002,1949316.0300000012,1708432.0400000003,1667257.5699999996,7279722.110000001,13308959.050000003
Energy,1232843.1500000004,859422.5431,699479.88,676736.0199999999,913802.5599999999,1003624.5499999993,992906.0899999999,793502.16,3703835.3599999994,7172316.9531
Telecommunications,245849.78000000006,345612.81999999995,439147.29,473974.48,686165.96,487939.7900000001,556879.0199999999,546294.26,2277279.0300000003,3781863.4000000004
Government & Public Affairs,416931.25,673916.41,396613.7100000001,563930.6700000002,497716.6699999999,401165.82000000007,389723.58999999997,198774.05999999997,1487380.1400000001,3538772.18
Pharmaceuticals,288892.58999999997,331166.89,347695.56000000006,346636.35,445018.0400000001,413666.86,388436.76999999996,344738.80999999994,1591860.48,2906251.87
Education,102873.82,230641.66999999995,96782.25,283182.38999999996,591486.5399999999,540984.5,518939.4400000002,495342.67,2146753.1500000004,2860233.2800000003
Environment,219529.94999999998,281021.47,211598.84,238213.38999999996,470802.6699999999,524116.8799999997,420557.29000000004,399053.0499999999,1814529.8899999994,2764893.539999999
Labor Unions,123930.88,169525.80000000005,368828.49,352834.49,406621.25000000006,310265.85,290189.03,198961.5,1206037.6300000001,2221157.29
Bank & Finance,197091.48000000004,241934.21999999997,241444.25999999998,210174.15000000002,308798.76,267513.11,297139.91000000003,265161.0800000001,1138612.86,2029256.9700000002
Insurance,160805.90000000002,223993.30000000002,210520.79,179863.87999999998,189949.10000000003,205534.59,301271.69,215660.78,912416.1600000001,1687600.0300000003
Civil & Criminal Justice,71280.90000000001,106192.19,193947.59999999998,159685.37,240123.53,159356.15,211859.55000000005,209144.10999999996,820483.34,1351589.4
Elderly,107316.78,297386.32999999996,201966.05,166276.44,139661.01,165066.03999999995,121675.89000000004,90059.29000000001,516462.23,1289407.83
Transportation,87785.49,102772.03,105400.64,106572.31999999999,184390.84,236636.69,219545.0,190512.0,831084.53,1233615.01
Alcohol,115867.17000000001,123652.18000000001,142227.83999999997,162982.57,185401.14,165900.55,152663.71000000002,160932.86000000002,664898.26,1209628.02
Manufacturing,88512.33,39994.45,101550.3,151123.89,99916.0,240837.5,128882.0,151598.0,621233.5,1002414.47
Real Estate,71891.4,52012.759999999995,106460.34,117258.99999999999,193337.44999999998,144890.43,172744.33,92253.53,603225.74,950849.2399999999
Housing,51529.729999999996,92746.85,107092.81999999999,96784.53,99862.06,98762.03,125581.31000000001,132921.24000000002,457126.64,805280.5700000001
Agriculture ,39381.35,84035.22,50661.84,31715.760000000002,103475.81999999999,156296.15,162433.94000000003,132950.24000000002,555156.15,760950.3200000001
Non-alcoholic beverages,51580.950000000004,81094.98,84178.75,112321.01999999999,119545.27,87182.34,87954.5,66538.13,361220.24,690395.94
Marijuana,11250.0,37902.560000000005,47283.8,29328.5,37757.88,200720.67,145607.58,88735.46,472821.59,598586.45
Gun,1518.1,0.0,3797.0600000000004,76391.69999999998,247028.44000000003,39060.37,40702.76,175265.78,502057.3500000001,583764.2100000001
Children & Youth,3271.95,9962.84,19609.33,24289.230000000003,120707.18,127882.91000000002,173381.02999999994,103713.13,525684.25,582817.6
Gaming,0.0,0.0,6497.0,22425.0,47850.03,106334.8,151158.93,127900.0,433243.76,462165.76
Tobacco,33503.5,15689.25,33315.35,44306.77999999999,62718.439999999995,50465.95999999999,55999.26,71951.84,241135.5,367950.38
Ski Industry,35492.0,8433.0,25392.0,57755.0,42460.0,41710.0,44860.0,61568.82,190598.82,317670.82
Retail,7656.6,27273.0,27500.0,30000.0,29166.64,43865.0,40800.0,35600.0,149431.64,241861.24
Toys,812.66,15000.0,30055.0,33300.0,51815.0,44498.81,26000.0,26868.95,149182.76,228350.42
Accessibility,19707.96,19512.29,16526.67,42244.01,41096.229999999996,22712.2,12520.42,6824.75,83153.59999999999,181144.53
Media & Journalism,8125.0,1606.0,26722.0,3764.0,14998.08,20980.0,28141.58,20314.47,84434.13,124651.13
Arts,19604.0,15136.0,13571.0,8070.0,8484.0,21292.0,12832.0,3216.4900000000002,45824.49,102205.49
Ski industry,0.0,0.0,0.0,0.0,26625.0,41269.4,2125.0,2125.0,72144.4,72144.4
Childern & Youth,2460.6,0.0,0.0,50877.45,244.0,0.0,0.0,0.0,244.0,53582.049999999996
Veterinarians,6600.0,5000.0,5000.0,4000.0,8750.0,7595.0,8312.5,7437.5,32095.0,52695.0
Prisons,8740.25,3538.25,11172.73,8000.0,7950.0,0.0,0.0,0.0,7950.0,39401.229999999996
E-commerce,0.0,0.0,0.0,0.0,0.0,0.0,10729.29,21785.71,32515.0,32515.0
Defense Armament,0.0,0.0,0.0,14000.0,17396.0,0.0,0.0,0.0,17396.0,31396.0
Firm,0.0,0.0,0.0,0.0,0.0,21596.62,0.0,0.0,21596.62,21596.62
Poverty,60.0,1380.5700000000002,566.83,525.99,955.09,4615.499999999999,1770.91,6275.429999999999,13616.929999999998,16150.32
Urban issues,0.0,1794.84,1069.8,750.0,1867.35,1783.65,1470.36,700.6999999999999,5822.0599999999995,9436.7
